id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata
125,Group B,BPCL-TXN-5548852,outgoing,Kavita Nair,kavita.nair@bpcl.co.in,529724.19,INR,HSD,8158,TRK4920,TID354235,2025-01-07,,TankFarm-11,CNTR-28700,Weather delay,2025-03-23T07:03:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 8158, ""truck_count"": 1, ""contract_ref"": ""CNTR-28700"", ""storage_location"": ""TankFarm-11""}"
126,Group C,BPCL-TXN-6541407,incoming,Sahil Singh,sahil.singh@bpcl.co.in,97895.06,INR,HSD,5339,"TRK3587,TRK7666,TRK8793,TRK8822,TRK4267","TID892630,TID401198,TID436768,TID399279,TID777273",,2025-01-08,TankFarm-2,CNTR-29406,Weather delay,2025-03-10T23:46:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 5339, ""truck_count"": 5, ""contract_ref"": ""CNTR-29406"", ""storage_location"": ""TankFarm-2""}"
127,Group A,BPCL-TXN-1625760,outgoing,Kavita Mehta,kavita.mehta@bpcl.co.in,327966.61,INR,HSD,3381,TRK7504,TID926236,2025-03-05,,TankFarm-3,CNTR-24742,Standard operation,2025-01-02T09:36:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 3381, ""truck_count"": 1, ""contract_ref"": ""CNTR-24742"", ""storage_location"": ""TankFarm-3""}"
128,Group B,BPCL-TXN-6621073,outgoing,Vikram Singh,vikram.singh@bpcl.co.in,742097.12,INR,Naphtha,35361,TRK9092,TID240718,2025-03-06,,TankFarm-8,CNTR-24470,Weather delay,2025-01-15T10:10:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 35361, ""truck_count"": 1, ""contract_ref"": ""CNTR-24470"", ""storage_location"": ""TankFarm-8""}"
129,Group C,BPCL-TXN-5316188,outgoing,Sahil Mehta,sahil.mehta@bpcl.co.in,35211.04,INR,LDO,20334,TRK4164,TID284019,2025-03-20,,TankFarm-11,CNTR-26643,Quality check required,2025-03-07T10:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 20334, ""truck_count"": 1, ""contract_ref"": ""CNTR-26643"", ""storage_location"": ""TankFarm-11""}"
130,Group A,BPCL-TXN-2600296,incoming,Amit Mehta,amit.mehta@bpcl.co.in,371154.22,INR,HSD,5447,"TRK7284,TRK4858,TRK8319","TID890371,TID379963,TID445637",,2025-02-08,TankFarm-10,CNTR-29386,Standard operation,2025-02-03T20:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 5447, ""truck_count"": 3, ""contract_ref"": ""CNTR-29386"", ""storage_location"": ""TankFarm-10""}"
131,Group B,BPCL-TXN-2042273,outgoing,Pooja Patel,pooja.patel@bpcl.co.in,362411.37,INR,HSD,27569,TRK9233,TID837733,2025-02-09,,TankFarm-12,CNTR-21923,Priority consignment,2025-02-17T19:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 27569, ""truck_count"": 1, ""contract_ref"": ""CNTR-21923"", ""storage_location"": ""TankFarm-12""}"
132,Group C,BPCL-TXN-3240912,incoming,Rahul Mehta,rahul.mehta@bpcl.co.in,354859.54,INR,Naphtha,29485,"TRK9998,TRK8714,TRK9806,TRK4578","TID898867,TID359486,TID813390,TID891401",,2025-03-18,TankFarm-2,CNTR-28609,Temperature sensitive,2025-03-09T22:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 29485, ""truck_count"": 4, ""contract_ref"": ""CNTR-28609"", ""storage_location"": ""TankFarm-2""}"
133,Group A,BPCL-TXN-2882551,incoming,Ramesh Nair,ramesh.nair@bpcl.co.in,679593.92,INR,HSD,42532,"TRK3455,TRK3695,TRK6375,TRK9525,TRK8239","TID221886,TID813341,TID315379,TID851742,TID711474",,2025-03-04,TankFarm-2,CNTR-28361,Temperature sensitive,2025-01-08T14:08:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 42532, ""truck_count"": 5, ""contract_ref"": ""CNTR-28361"", ""storage_location"": ""TankFarm-2""}"
134,Group B,BPCL-TXN-8663806,incoming,Anil Sharma,anil.sharma@bpcl.co.in,430127.97,INR,LDO,6426,"TRK5169,TRK1049,TRK4570,TRK2196","TID147489,TID544278,TID461264,TID834406",,2025-01-09,TankFarm-9,CNTR-20987,Requires escort,2025-03-02T01:18:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 6426, ""truck_count"": 4, ""contract_ref"": ""CNTR-20987"", ""storage_location"": ""TankFarm-9""}"
135,Group C,BPCL-TXN-3272119,incoming,Meera Gupta,meera.gupta@bpcl.co.in,734291.63,INR,ATF,29540,"TRK8348,TRK7184,TRK7154,TRK2314","TID815894,TID793939,TID665497,TID239449",,2025-03-25,TankFarm-6,CNTR-21943,Customs hold,2025-03-10T12:33:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 29540, ""truck_count"": 4, ""contract_ref"": ""CNTR-21943"", ""storage_location"": ""TankFarm-6""}"
136,Group A,BPCL-TXN-4736121,incoming,Ajay Sharma,ajay.sharma@bpcl.co.in,573230.08,INR,LDO,35343,"TRK9920,TRK7948,TRK9715,TRK7214,TRK4762,TRK5055","TID583000,TID462974,TID262656,TID389039,TID297636,TID860242",,2025-01-15,TankFarm-1,CNTR-26868,Standard operation,2025-01-31T06:04:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 35343, ""truck_count"": 6, ""contract_ref"": ""CNTR-26868"", ""storage_location"": ""TankFarm-1""}"
137,Group B,BPCL-TXN-1563316,incoming,Rahul Bansal,rahul.bansal@bpcl.co.in,512217.14,INR,MS,21038,"TRK1724,TRK7590,TRK8191,TRK4839,TRK9843,TRK4559","TID891030,TID913761,TID159185,TID246942,TID628373,TID403314",,2025-01-30,TankFarm-12,CNTR-29438,Gate pass pending,2025-03-15T19:49:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 21038, ""truck_count"": 6, ""contract_ref"": ""CNTR-29438"", ""storage_location"": ""TankFarm-12""}"
138,Group C,BPCL-TXN-6379867,outgoing,Sunita Rao,sunita.rao@bpcl.co.in,660287.28,INR,Naphtha,15486,TRK7775,TID415098,2025-02-05,,TankFarm-1,CNTR-29121,Customs hold,2025-03-22T21:27:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 15486, ""truck_count"": 1, ""contract_ref"": ""CNTR-29121"", ""storage_location"": ""TankFarm-1""}"
139,Group A,BPCL-TXN-1786584,outgoing,Ketan Gupta,ketan.gupta@bpcl.co.in,511723.33,INR,Naphtha,21888,TRK7821,TID528090,2025-01-20,,TankFarm-5,CNTR-26167,Customs hold,2025-03-10T15:15:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 21888, ""truck_count"": 1, ""contract_ref"": ""CNTR-26167"", ""storage_location"": ""TankFarm-5""}"
140,Group B,BPCL-TXN-6045519,outgoing,Ajay Khosla,ajay.khosla@bpcl.co.in,129655.02,INR,ATF,4776,TRK7761,TID536740,2025-03-13,,TankFarm-9,CNTR-22196,Quality check required,2025-02-01T08:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""ATF"", ""quantity_liters"": 4776, ""truck_count"": 1, ""contract_ref"": ""CNTR-22196"", ""storage_location"": ""TankFarm-9""}"
141,Group C,BPCL-TXN-2326581,incoming,Kavita Singh,kavita.singh@bpcl.co.in,639171.7,INR,MS,40103,"TRK4120,TRK1844,TRK5398,TRK7179,TRK1647,TRK2192","TID297303,TID943737,TID898696,TID716126,TID859489,TID804066",,2025-03-13,TankFarm-4,CNTR-27854,Weather delay,2025-02-12T09:58:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 40103, ""truck_count"": 6, ""contract_ref"": ""CNTR-27854"", ""storage_location"": ""TankFarm-4""}"
142,Group A,BPCL-TXN-4188068,incoming,Sahil Patel,sahil.patel@bpcl.co.in,566487.44,INR,ATF,20898,"TRK4350,TRK7498,TRK4921,TRK6269,TRK5637,TRK7236","TID588899,TID659572,TID780233,TID476710,TID423404,TID374267",,2025-02-16,TankFarm-9,CNTR-28147,Temperature sensitive,2025-01-13T23:30:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 20898, ""truck_count"": 6, ""contract_ref"": ""CNTR-28147"", ""storage_location"": ""TankFarm-9""}"
143,Group B,BPCL-TXN-6372622,outgoing,Kavita Desai,kavita.desai@bpcl.co.in,293761.07,INR,ATF,3996,TRK4625,TID877259,2025-01-19,,TankFarm-1,CNTR-24272,Documentation pending,2025-03-16T18:46:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""ATF"", ""quantity_liters"": 3996, ""truck_count"": 1, ""contract_ref"": ""CNTR-24272"", ""storage_location"": ""TankFarm-1""}"
144,Group C,BPCL-TXN-3557039,incoming,Sunita Verma,sunita.verma@bpcl.co.in,191763.5,INR,Naphtha,21104,"TRK6530,TRK5216,TRK9005,TRK9037","TID583214,TID276405,TID868367,TID933592",,2025-02-15,TankFarm-3,CNTR-22293,Documentation pending,2025-03-04T05:58:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 21104, ""truck_count"": 4, ""contract_ref"": ""CNTR-22293"", ""storage_location"": ""TankFarm-3""}"
145,Group A,BPCL-TXN-1985360,outgoing,Shreya Sharma,shreya.sharma@bpcl.co.in,633324.66,INR,MS,4179,TRK1104,TID532424,2025-01-18,,TankFarm-11,CNTR-23791,Requires escort,2025-04-01T04:00:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 4179, ""truck_count"": 1, ""contract_ref"": ""CNTR-23791"", ""storage_location"": ""TankFarm-11""}"
146,Group B,BPCL-TXN-8650572,incoming,Ketan Sharma,ketan.sharma@bpcl.co.in,472930.55,INR,Naphtha,36667,"TRK8993,TRK1257,TRK1108,TRK9719,TRK7739,TRK1194","TID117538,TID655134,TID857273,TID388086,TID661762,TID400614",,2025-01-03,TankFarm-9,CNTR-27054,Customs hold,2025-01-14T03:33:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 36667, ""truck_count"": 6, ""contract_ref"": ""CNTR-27054"", ""storage_location"": ""TankFarm-9""}"
147,Group C,BPCL-TXN-4220085,incoming,Anil Nair,anil.nair@bpcl.co.in,208003.19,INR,LDO,22519,"TRK2294,TRK7112,TRK7652,TRK8520","TID692447,TID355021,TID831105,TID336828",,2025-02-08,TankFarm-11,CNTR-21320,Standard operation,2025-01-12T12:24:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 22519, ""truck_count"": 4, ""contract_ref"": ""CNTR-21320"", ""storage_location"": ""TankFarm-11""}"
148,Group A,BPCL-TXN-8986040,incoming,Ramesh Gupta,ramesh.gupta@bpcl.co.in,31851.38,INR,HSD,10418,"TRK8109,TRK6427,TRK2562,TRK9653","TID144618,TID340927,TID321686,TID825916",,2025-03-14,TankFarm-8,CNTR-24441,Standard operation,2025-01-10T21:59:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 10418, ""truck_count"": 4, ""contract_ref"": ""CNTR-24441"", ""storage_location"": ""TankFarm-8""}"
149,Group B,BPCL-TXN-1552000,incoming,Amit Verma,amit.verma@bpcl.co.in,36352.12,INR,HSD,43471,"TRK7525,TRK2260","TID413814,TID270341",,2025-03-14,TankFarm-4,CNTR-29284,Quality check required,2025-03-28T17:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 43471, ""truck_count"": 2, ""contract_ref"": ""CNTR-29284"", ""storage_location"": ""TankFarm-4""}"
150,Group C,BPCL-TXN-3347981,incoming,Meera Khosla,meera.khosla@bpcl.co.in,550018.59,INR,Naphtha,27666,TRK2600,TID558320,,2025-01-30,TankFarm-2,CNTR-25580,Quality check required,2025-02-11T00:40:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 27666, ""truck_count"": 1, ""contract_ref"": ""CNTR-25580"", ""storage_location"": ""TankFarm-2""}"
151,Group A,BPCL-TXN-8558977,incoming,Rahul Desai,rahul.desai@bpcl.co.in,282963.12,INR,ATF,33301,"TRK7227,TRK2404","TID909676,TID748665",,2025-02-07,TankFarm-4,CNTR-21204,Requires escort,2025-02-04T04:24:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 33301, ""truck_count"": 2, ""contract_ref"": ""CNTR-21204"", ""storage_location"": ""TankFarm-4""}"
152,Group B,BPCL-TXN-3588336,outgoing,Sahil Jain,sahil.jain@bpcl.co.in,254591.72,INR,MS,6997,TRK1085,TID423241,2025-02-26,,TankFarm-6,CNTR-24419,Requires escort,2025-01-17T02:11:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 6997, ""truck_count"": 1, ""contract_ref"": ""CNTR-24419"", ""storage_location"": ""TankFarm-6""}"
153,Group C,BPCL-TXN-9597330,incoming,Neha Patel,neha.patel@bpcl.co.in,44039.88,INR,LDO,41321,TRK6315,TID503951,,2025-01-02,TankFarm-5,CNTR-26779,Quality check required,2025-01-11T23:57:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 41321, ""truck_count"": 1, ""contract_ref"": ""CNTR-26779"", ""storage_location"": ""TankFarm-5""}"
154,Group A,BPCL-TXN-5072543,outgoing,Anil Nair,anil.nair@bpcl.co.in,147947.62,INR,ATF,12108,TRK3274,TID381981,2025-02-08,,TankFarm-5,CNTR-28079,Customs hold,2025-01-09T05:27:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""ATF"", ""quantity_liters"": 12108, ""truck_count"": 1, ""contract_ref"": ""CNTR-28079"", ""storage_location"": ""TankFarm-5""}"
155,Group B,BPCL-TXN-6029008,incoming,Rahul Patel,rahul.patel@bpcl.co.in,286815.56,INR,HSD,45962,"TRK4203,TRK8501,TRK2752,TRK3219","TID419457,TID107096,TID514913,TID448354",,2025-03-21,TankFarm-7,CNTR-25399,Temperature sensitive,2025-02-12T13:52:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 45962, ""truck_count"": 4, ""contract_ref"": ""CNTR-25399"", ""storage_location"": ""TankFarm-7""}"
156,Group C,BPCL-TXN-3283789,outgoing,Vikram Verma,vikram.verma@bpcl.co.in,462328.17,INR,HSD,32392,TRK6147,TID286266,2025-02-20,,TankFarm-6,CNTR-24775,Temperature sensitive,2025-03-15T07:20:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 32392, ""truck_count"": 1, ""contract_ref"": ""CNTR-24775"", ""storage_location"": ""TankFarm-6""}"
157,Group A,BPCL-TXN-7592357,incoming,Ketan Patel,ketan.patel@bpcl.co.in,700748.69,INR,HSD,43812,"TRK3947,TRK1440,TRK8563,TRK4434,TRK8183","TID936433,TID405482,TID971662,TID826490,TID172518",,2025-02-22,TankFarm-11,CNTR-28180,Customs hold,2025-03-23T09:15:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 43812, ""truck_count"": 5, ""contract_ref"": ""CNTR-28180"", ""storage_location"": ""TankFarm-11""}"
158,Group B,BPCL-TXN-3586094,incoming,Sahil Jain,sahil.jain@bpcl.co.in,597080.65,INR,MS,34430,"TRK8851,TRK7566,TRK9755,TRK9300,TRK7853","TID670053,TID138551,TID929130,TID476993,TID835716",,2025-03-10,TankFarm-10,CNTR-21392,Requires escort,2025-02-01T21:42:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 34430, ""truck_count"": 5, ""contract_ref"": ""CNTR-21392"", ""storage_location"": ""TankFarm-10""}"
159,Group C,BPCL-TXN-1743175,incoming,Anil Gupta,anil.gupta@bpcl.co.in,516167.12,INR,ATF,26731,"TRK2735,TRK1172,TRK2615,TRK5239","TID332785,TID635482,TID883132,TID643998",,2025-03-13,TankFarm-10,CNTR-29424,Weather delay,2025-02-27T11:25:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 26731, ""truck_count"": 4, ""contract_ref"": ""CNTR-29424"", ""storage_location"": ""TankFarm-10""}"
160,Group A,BPCL-TXN-9396422,incoming,Amit Verma,amit.verma@bpcl.co.in,748334.48,INR,ATF,11851,"TRK7815,TRK2406,TRK2901","TID971699,TID865618,TID248557",,2025-02-14,TankFarm-5,CNTR-25620,Temperature sensitive,2025-01-27T16:30:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 11851, ""truck_count"": 3, ""contract_ref"": ""CNTR-25620"", ""storage_location"": ""TankFarm-5""}"
161,Group B,BPCL-TXN-2637842,incoming,Rahul Khosla,rahul.khosla@bpcl.co.in,530153.37,INR,LDO,9402,"TRK1732,TRK2885,TRK1370","TID990429,TID459743,TID779445",,2025-01-14,TankFarm-11,CNTR-22692,Weather delay,2025-03-08T05:35:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 9402, ""truck_count"": 3, ""contract_ref"": ""CNTR-22692"", ""storage_location"": ""TankFarm-11""}"
162,Group C,BPCL-TXN-8153291,incoming,Rahul Desai,rahul.desai@bpcl.co.in,603372.95,INR,HSD,17215,"TRK8080,TRK7481,TRK1478,TRK4232,TRK8365,TRK8037","TID507723,TID104666,TID838968,TID325230,TID315780,TID391865",,2025-04-01,TankFarm-2,CNTR-29459,Requires escort,2025-03-10T05:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 17215, ""truck_count"": 6, ""contract_ref"": ""CNTR-29459"", ""storage_location"": ""TankFarm-2""}"
163,Group A,BPCL-TXN-8676422,incoming,Priya Rao,priya.rao@bpcl.co.in,511258.54,INR,ATF,39584,"TRK6134,TRK7367,TRK7431,TRK2871,TRK6700,TRK6766","TID986589,TID580101,TID747351,TID280908,TID953266,TID806309",,2025-04-01,TankFarm-5,CNTR-29669,Requires escort,2025-03-28T04:20:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 39584, ""truck_count"": 6, ""contract_ref"": ""CNTR-29669"", ""storage_location"": ""TankFarm-5""}"
164,Group B,BPCL-TXN-6123426,incoming,Priya Mehta,priya.mehta@bpcl.co.in,295646.9,INR,HSD,38477,"TRK7852,TRK3258,TRK7286,TRK7931","TID294776,TID610310,TID766371,TID663483",,2025-03-30,TankFarm-11,CNTR-22838,Documentation pending,2025-01-22T15:18:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 38477, ""truck_count"": 4, ""contract_ref"": ""CNTR-22838"", ""storage_location"": ""TankFarm-11""}"
165,Group C,BPCL-TXN-6277776,incoming,Ajay Singh,ajay.singh@bpcl.co.in,474072.23,INR,LDO,5628,"TRK3236,TRK4196,TRK7290,TRK9281","TID784793,TID619013,TID529008,TID817956",,2025-03-04,TankFarm-7,CNTR-27272,Temperature sensitive,2025-01-22T02:36:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 5628, ""truck_count"": 4, ""contract_ref"": ""CNTR-27272"", ""storage_location"": ""TankFarm-7""}"
166,Group A,BPCL-TXN-4699871,incoming,Vikram Sharma,vikram.sharma@bpcl.co.in,224268.37,INR,Naphtha,23918,"TRK8492,TRK9115","TID676429,TID635618",,2025-01-15,TankFarm-10,CNTR-21871,Priority consignment,2025-03-11T11:34:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 23918, ""truck_count"": 2, ""contract_ref"": ""CNTR-21871"", ""storage_location"": ""TankFarm-10""}"
167,Group B,BPCL-TXN-1698108,outgoing,Meera Khosla,meera.khosla@bpcl.co.in,344990.77,INR,HSD,28862,TRK2677,TID871740,2025-03-25,,TankFarm-4,CNTR-24877,Standard operation,2025-02-27T08:22:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 28862, ""truck_count"": 1, ""contract_ref"": ""CNTR-24877"", ""storage_location"": ""TankFarm-4""}"
168,Group C,BPCL-TXN-2459332,outgoing,Rahul Patel,rahul.patel@bpcl.co.in,587332.95,INR,HSD,14754,TRK6744,TID845279,2025-03-20,,TankFarm-11,CNTR-27015,Customs hold,2025-03-20T04:50:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 14754, ""truck_count"": 1, ""contract_ref"": ""CNTR-27015"", ""storage_location"": ""TankFarm-11""}"
169,Group A,BPCL-TXN-4471922,incoming,Meera Sharma,meera.sharma@bpcl.co.in,438303.9,INR,Naphtha,23421,"TRK9827,TRK3758,TRK6302,TRK5794,TRK5740","TID700556,TID380329,TID999695,TID639403,TID812296",,2025-01-13,TankFarm-3,CNTR-26743,Standard operation,2025-02-05T20:08:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 23421, ""truck_count"": 5, ""contract_ref"": ""CNTR-26743"", ""storage_location"": ""TankFarm-3""}"
170,Group B,BPCL-TXN-3226183,outgoing,Sunita Mehta,sunita.mehta@bpcl.co.in,540761.27,INR,HSD,26736,TRK9019,TID249077,2025-03-15,,TankFarm-11,CNTR-24402,Quality check required,2025-02-18T14:04:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 26736, ""truck_count"": 1, ""contract_ref"": ""CNTR-24402"", ""storage_location"": ""TankFarm-11""}"
171,Group C,BPCL-TXN-2561871,outgoing,Neha Nair,neha.nair@bpcl.co.in,568606.73,INR,LDO,30798,TRK8996,TID443187,2025-03-16,,TankFarm-1,CNTR-21526,Temperature sensitive,2025-03-23T21:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 30798, ""truck_count"": 1, ""contract_ref"": ""CNTR-21526"", ""storage_location"": ""TankFarm-1""}"
172,Group A,BPCL-TXN-2062512,incoming,Meera Nair,meera.nair@bpcl.co.in,313344.0,INR,ATF,18883,"TRK5399,TRK6289,TRK5646,TRK6533","TID673896,TID706007,TID236937,TID693643",,2025-03-04,TankFarm-6,CNTR-20793,Standard operation,2025-01-13T20:50:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 18883, ""truck_count"": 4, ""contract_ref"": ""CNTR-20793"", ""storage_location"": ""TankFarm-6""}"
173,Group B,BPCL-TXN-1273155,outgoing,Priya Mehta,priya.mehta@bpcl.co.in,344932.31,INR,MS,29036,TRK4314,TID822040,2025-01-17,,TankFarm-11,CNTR-24945,Customs hold,2025-02-05T02:41:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 29036, ""truck_count"": 1, ""contract_ref"": ""CNTR-24945"", ""storage_location"": ""TankFarm-11""}"
174,Group C,BPCL-TXN-2382787,incoming,Ketan Gupta,ketan.gupta@bpcl.co.in,680255.19,INR,HSD,8393,"TRK6005,TRK4836,TRK8032,TRK2494","TID837880,TID199807,TID101139,TID323788",,2025-03-03,TankFarm-2,CNTR-22174,Weather delay,2025-03-08T21:28:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 8393, ""truck_count"": 4, ""contract_ref"": ""CNTR-22174"", ""storage_location"": ""TankFarm-2""}"
175,Group A,BPCL-TXN-6764217,incoming,Ajay Patel,ajay.patel@bpcl.co.in,741412.31,INR,ATF,13662,"TRK2160,TRK4751,TRK7276,TRK2463","TID866260,TID945106,TID207402,TID208214",,2025-02-10,TankFarm-6,CNTR-24902,Customs hold,2025-02-18T04:41:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 13662, ""truck_count"": 4, ""contract_ref"": ""CNTR-24902"", ""storage_location"": ""TankFarm-6""}"
176,Group B,BPCL-TXN-3396676,outgoing,Priya Nair,priya.nair@bpcl.co.in,433386.13,INR,Naphtha,11755,TRK8210,TID468247,2025-01-28,,TankFarm-11,CNTR-22480,Quality check required,2025-03-20T21:28:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 11755, ""truck_count"": 1, ""contract_ref"": ""CNTR-22480"", ""storage_location"": ""TankFarm-11""}"
177,Group C,BPCL-TXN-2454383,outgoing,Kavita Patel,kavita.patel@bpcl.co.in,126509.53,INR,MS,39638,TRK7291,TID468611,2025-02-24,,TankFarm-6,CNTR-22290,Weather delay,2025-02-05T20:05:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 39638, ""truck_count"": 1, ""contract_ref"": ""CNTR-22290"", ""storage_location"": ""TankFarm-6""}"
178,Group A,BPCL-TXN-5780177,incoming,Meera Khosla,meera.khosla@bpcl.co.in,44447.69,INR,LDO,18464,"TRK9348,TRK4090,TRK7418,TRK5842,TRK1894","TID921875,TID932336,TID350967,TID618927,TID504630",,2025-01-15,TankFarm-4,CNTR-28185,Requires escort,2025-03-09T00:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 18464, ""truck_count"": 5, ""contract_ref"": ""CNTR-28185"", ""storage_location"": ""TankFarm-4""}"
179,Group B,BPCL-TXN-3214305,outgoing,Neha Bansal,neha.bansal@bpcl.co.in,330126.06,INR,Naphtha,12322,TRK8717,TID907788,2025-01-10,,TankFarm-1,CNTR-29623,Requires escort,2025-01-02T08:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 12322, ""truck_count"": 1, ""contract_ref"": ""CNTR-29623"", ""storage_location"": ""TankFarm-1""}"
